D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 3.10 sec  loss: -0.088970  (-0.088970, 0.000000)
epoch: 0001  step: 2/100     time: 1.29 sec  loss: -0.092034  (-0.092034, 0.000000)
epoch: 0001  step: 3/100     time: 1.36 sec  loss: -0.081250  (-0.081250, 0.000000)
epoch: 0001  step: 4/100     time: 1.37 sec  loss: -0.075642  (-0.075642, 0.000000)
epoch: 0001  step: 5/100     time: 1.36 sec  loss: -0.083110  (-0.083110, 0.000000)
epoch: 0001  step: 6/100     time: 1.37 sec  loss: -0.071410  (-0.071410, 0.000000)
epoch: 0001  step: 7/100     time: 1.38 sec  loss: -0.066174  (-0.066174, 0.000000)
epoch: 0001  step: 8/100     time: 1.36 sec  loss: -0.078899  (-0.078899, 0.000000)
epoch: 0001  step: 9/100     time: 1.37 sec  loss: -0.073608  (-0.073608, 0.000000)
epoch: 0001  step: 10/100    time: 1.38 sec  loss: -0.082270  (-0.082271, 0.000000)
epoch: 0001  step: 11/100    time: 1.36 sec  loss: -0.081103  (-0.081104, 0.000001)
epoch: 0001  step: 12/100    time: 1.39 sec  loss: -0.079110  (-0.079111, 0.000001)
epoch: 0001  step: 13/100    time: 1.39 sec  loss: -0.082742  (-0.082744, 0.000002)
epoch: 0001  step: 14/100    time: 1.39 sec  loss: -0.082836  (-0.082840, 0.000004)
epoch: 0001  step: 15/100    time: 1.40 sec  loss: -0.090895  (-0.090902, 0.000007)
epoch: 0001  step: 16/100    time: 1.41 sec  loss: -0.084554  (-0.084565, 0.000011)
epoch: 0001  step: 17/100    time: 1.43 sec  loss: -0.094933  (-0.094952, 0.000019)
epoch: 0001  step: 18/100    time: 1.43 sec  loss: -0.091826  (-0.091859, 0.000033)
epoch: 0001  step: 19/100    time: 1.43 sec  loss: -0.081703  (-0.081760, 0.000058)
epoch: 0001  step: 20/100    time: 1.44 sec  loss: -0.087110  (-0.087211, 0.000100)
epoch: 0001  step: 21/100    time: 1.44 sec  loss: -0.089403  (-0.089552, 0.000150)
epoch: 0001  step: 22/100    time: 1.44 sec  loss: -0.099773  (-0.099933, 0.000160)
epoch: 0001  step: 23/100    time: 1.44 sec  loss: -0.091699  (-0.091847, 0.000148)
epoch: 0001  step: 24/100    time: 1.44 sec  loss: -0.094073  (-0.094197, 0.000124)
epoch: 0001  step: 25/100    time: 1.44 sec  loss: -0.085466  (-0.085564, 0.000098)
epoch: 0001  step: 26/100    time: 1.44 sec  loss: -0.084049  (-0.084131, 0.000082)
epoch: 0001  step: 27/100    time: 1.45 sec  loss: -0.096070  (-0.096141, 0.000070)
