a,b,dice,ds_a,ds_b,split_a,split_b
D029,T069,0.8717,DGM,ASD,test,train
T037,PILOT034,0.8436,ASD,fs_subjects,test,train
A001,FSS_A001,0.9571,ASD,fs_subjects,train,train
A040,D055,0.8512,ASD,DGM,train,train
A074,D040,0.8051,ASD,DGM,train,train
D038,DGM002,0.8801,DGM,DGM,train,train
D041,HP_IA056,0.8735,DGM,fs_subjects,train,train
DGM001,T005,0.8139,DGM,ASD,train,train
EDP007,T035,0.8216,fs_subjects,ASD,train,train
HP_IA001,T033,0.8571,fs_subjects,ASD,train,train
HP_IA002,PILOT053,0.8893,fs_subjects,fs_subjects,train,train
HP_IA003,PILOT047,0.8843,fs_subjects,fs_subjects,train,train
HP_IA008,PILOT050,0.8889,fs_subjects,fs_subjects,train,train
HP_IA009,PILOT051,0.8858,fs_subjects,fs_subjects,train,train
HP_IA010,T015,0.8700,fs_subjects,ASD,train,train
HP_IA013,PILOT008,0.8774,fs_subjects,fs_subjects,train,train
HP_IA014,PILOT045,0.8860,fs_subjects,fs_subjects,train,train
HP_IA015,PILOT029,0.8729,fs_subjects,fs_subjects,train,train
HP_IA016,PILOT022,0.8886,fs_subjects,fs_subjects,train,train
HP_IA018,PILOT027,0.8849,fs_subjects,fs_subjects,train,val
HP_IA020,PILOT039,0.8969,fs_subjects,fs_subjects,train,train
HP_IA021,PILOT011,0.8776,fs_subjects,fs_subjects,train,train
HP_IA042,PILOT025,0.8779,fs_subjects,fs_subjects,train,train
PILOT006,T086,0.8479,fs_subjects,ASD,train,train
PILOT019,T012,0.8004,fs_subjects,ASD,train,train
PILOT037,sub-0030,0.8873,fs_subjects,fs_subjects,train,train
PILOT038,T065,0.8689,fs_subjects,ASD,train,train
PILOT043,T027,0.8318,fs_subjects,ASD,train,train
T020,sub-0017,0.8527,ASD,fs_subjects,train,train
T049,VNT022,0.8630,ASD,VNT,train,val
T049,sub-0023,0.8369,ASD,fs_subjects,train,val
VNT027,sub-0022,0.8140,VNT,fs_subjects,train,train
D015,D037,0.8818,DGM,DGM,val,val
PILOT012,T042,0.8650,fs_subjects,ASD,val,val
VNT022,sub-0023,0.8540,VNT,fs_subjects,val,val
