D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 3.68 sec  loss: -0.096764  (-0.096764, 0.000000)
epoch: 0001  step: 2/100     time: 1.25 sec  loss: -0.093719  (-0.093719, 0.000000)
epoch: 0001  step: 3/100     time: 1.32 sec  loss: -0.092065  (-0.092065, 0.000000)
epoch: 0001  step: 4/100     time: 1.30 sec  loss: -0.089974  (-0.089974, 0.000000)
epoch: 0001  step: 5/100     time: 1.34 sec  loss: -0.083929  (-0.083929, 0.000000)
epoch: 0001  step: 6/100     time: 1.32 sec  loss: -0.084947  (-0.084947, 0.000000)
epoch: 0001  step: 7/100     time: 1.31 sec  loss: -0.083780  (-0.083780, 0.000000)
epoch: 0001  step: 8/100     time: 1.30 sec  loss: -0.090388  (-0.090388, 0.000000)
epoch: 0001  step: 9/100     time: 1.31 sec  loss: -0.098428  (-0.098428, 0.000000)
epoch: 0001  step: 10/100    time: 1.30 sec  loss: -0.088758  (-0.088758, 0.000000)
epoch: 0001  step: 11/100    time: 1.32 sec  loss: -0.084203  (-0.084203, 0.000000)
epoch: 0001  step: 12/100    time: 1.31 sec  loss: -0.100765  (-0.100765, 0.000000)
epoch: 0001  step: 13/100    time: 1.30 sec  loss: -0.099112  (-0.099112, 0.000000)
epoch: 0001  step: 14/100    time: 1.32 sec  loss: -0.098990  (-0.098990, 0.000000)
epoch: 0001  step: 15/100    time: 1.31 sec  loss: -0.095558  (-0.095558, 0.000000)
epoch: 0001  step: 16/100    time: 1.33 sec  loss: -0.091603  (-0.091604, 0.000000)
epoch: 0001  step: 17/100    time: 1.34 sec  loss: -0.091317  (-0.091317, 0.000000)
epoch: 0001  step: 18/100    time: 1.31 sec  loss: -0.096062  (-0.096063, 0.000001)
epoch: 0001  step: 19/100    time: 1.34 sec  loss: -0.076675  (-0.076676, 0.000001)
epoch: 0001  step: 20/100    time: 1.32 sec  loss: -0.084253  (-0.084255, 0.000002)
epoch: 0001  step: 21/100    time: 1.31 sec  loss: -0.087704  (-0.087708, 0.000004)
epoch: 0001  step: 22/100    time: 1.33 sec  loss: -0.095786  (-0.095792, 0.000006)
epoch: 0001  step: 23/100    time: 1.31 sec  loss: -0.089774  (-0.089780, 0.000006)
epoch: 0001  step: 24/100    time: 1.32 sec  loss: -0.100259  (-0.100264, 0.000005)
epoch: 0001  step: 25/100    time: 1.32 sec  loss: -0.098768  (-0.098772, 0.000004)
epoch: 0001  step: 26/100    time: 1.33 sec  loss: -0.098861  (-0.098864, 0.000003)
epoch: 0001  step: 27/100    time: 1.32 sec  loss: -0.100902  (-0.100905, 0.000002)
epoch: 0001  step: 28/100    time: 1.33 sec  loss: -0.096882  (-0.096884, 0.000002)
epoch: 0001  step: 29/100    time: 1.34 sec  loss: -0.095106  (-0.095108, 0.000002)
epoch: 0001  step: 30/100    time: 1.34 sec  loss: -0.099086  (-0.099088, 0.000002)
epoch: 0001  step: 31/100    time: 1.35 sec  loss: -0.098268  (-0.098269, 0.000002)
epoch: 0001  step: 32/100    time: 1.33 sec  loss: -0.093727  (-0.093728, 0.000002)
