D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 3.74 sec  loss: -0.082734  (-0.082734, 0.000000)
epoch: 0001  step: 2/100     time: 1.25 sec  loss: -0.084384  (-0.084384, 0.000000)
epoch: 0001  step: 3/100     time: 1.34 sec  loss: -0.081061  (-0.081061, 0.000000)
epoch: 0001  step: 4/100     time: 1.31 sec  loss: -0.076496  (-0.076496, 0.000000)
epoch: 0001  step: 5/100     time: 1.31 sec  loss: -0.081841  (-0.081841, 0.000000)
epoch: 0001  step: 6/100     time: 1.31 sec  loss: -0.087629  (-0.087629, 0.000000)
epoch: 0001  step: 7/100     time: 1.32 sec  loss: -0.083598  (-0.083598, 0.000000)
epoch: 0001  step: 8/100     time: 1.32 sec  loss: -0.089515  (-0.089515, 0.000000)
epoch: 0001  step: 9/100     time: 1.33 sec  loss: -0.085579  (-0.085579, 0.000000)
epoch: 0001  step: 10/100    time: 1.32 sec  loss: -0.089905  (-0.089905, 0.000000)
epoch: 0001  step: 11/100    time: 1.35 sec  loss: -0.091203  (-0.091203, 0.000000)
epoch: 0001  step: 12/100    time: 1.32 sec  loss: -0.090146  (-0.090146, 0.000000)
epoch: 0001  step: 13/100    time: 1.34 sec  loss: -0.092215  (-0.092215, 0.000000)
epoch: 0001  step: 14/100    time: 1.33 sec  loss: -0.093192  (-0.093193, 0.000000)
epoch: 0001  step: 15/100    time: 1.32 sec  loss: -0.084881  (-0.084882, 0.000001)
epoch: 0001  step: 16/100    time: 1.33 sec  loss: -0.087755  (-0.087756, 0.000001)
epoch: 0001  step: 17/100    time: 1.32 sec  loss: -0.095359  (-0.095360, 0.000001)
epoch: 0001  step: 18/100    time: 1.33 sec  loss: -0.087016  (-0.087019, 0.000003)
epoch: 0001  step: 19/100    time: 1.33 sec  loss: -0.093528  (-0.093532, 0.000004)
epoch: 0001  step: 20/100    time: 1.33 sec  loss: -0.095402  (-0.095410, 0.000007)
epoch: 0001  step: 21/100    time: 1.33 sec  loss: -0.089423  (-0.089436, 0.000013)
epoch: 0001  step: 22/100    time: 1.34 sec  loss: -0.092006  (-0.092030, 0.000024)
epoch: 0001  step: 23/100    time: 1.33 sec  loss: -0.090477  (-0.090514, 0.000036)
epoch: 0001  step: 24/100    time: 1.34 sec  loss: -0.090728  (-0.090785, 0.000057)
epoch: 0001  step: 25/100    time: 1.33 sec  loss: -0.090799  (-0.090852, 0.000053)
epoch: 0001  step: 26/100    time: 1.33 sec  loss: -0.083340  (-0.083388, 0.000048)
epoch: 0001  step: 27/100    time: 1.33 sec  loss: -0.092708  (-0.092749, 0.000041)
epoch: 0001  step: 28/100    time: 1.33 sec  loss: -0.086627  (-0.086659, 0.000032)
epoch: 0001  step: 29/100    time: 1.35 sec  loss: -0.088558  (-0.088584, 0.000027)
epoch: 0001  step: 30/100    time: 1.35 sec  loss: -0.084838  (-0.084860, 0.000022)
epoch: 0001  step: 31/100    time: 1.33 sec  loss: -0.096186  (-0.096208, 0.000022)
epoch: 0001  step: 32/100    time: 1.33 sec  loss: -0.098642  (-0.098663, 0.000021)
epoch: 0001  step: 33/100    time: 1.35 sec  loss: -0.085413  (-0.085435, 0.000022)
epoch: 0001  step: 34/100    time: 1.34 sec  loss: -0.091116  (-0.091138, 0.000022)
epoch: 0001  step: 35/100    time: 1.34 sec  loss: -0.092655  (-0.092679, 0.000024)
epoch: 0001  step: 36/100    time: 1.34 sec  loss: -0.088479  (-0.088503, 0.000024)
epoch: 0001  step: 37/100    time: 1.35 sec  loss: -0.091932  (-0.091959, 0.000026)
