D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 5.86 sec  loss: -0.082884  (-0.082884, 0.000000)
epoch: 0001  step: 2/100     time: 2.00 sec  loss: -0.089515  (-0.089515, 0.000000)
epoch: 0001  step: 3/100     time: 2.13 sec  loss: -0.088330  (-0.088330, 0.000000)
epoch: 0001  step: 4/100     time: 2.17 sec  loss: -0.096069  (-0.096069, 0.000000)
epoch: 0001  step: 5/100     time: 2.16 sec  loss: -0.091564  (-0.091564, 0.000000)
epoch: 0001  step: 6/100     time: 2.19 sec  loss: -0.077368  (-0.077368, 0.000000)
epoch: 0001  step: 7/100     time: 2.21 sec  loss: -0.081388  (-0.081388, 0.000000)
epoch: 0001  step: 8/100     time: 2.23 sec  loss: -0.080166  (-0.080166, 0.000000)
epoch: 0001  step: 9/100     time: 2.26 sec  loss: -0.083286  (-0.083287, 0.000000)
epoch: 0001  step: 10/100    time: 2.23 sec  loss: -0.099407  (-0.099407, 0.000000)
epoch: 0001  step: 11/100    time: 2.23 sec  loss: -0.098780  (-0.098780, 0.000000)
epoch: 0001  step: 12/100    time: 2.29 sec  loss: -0.075443  (-0.075443, 0.000000)
epoch: 0001  step: 13/100    time: 2.22 sec  loss: -0.101107  (-0.101108, 0.000000)
epoch: 0001  step: 14/100    time: 2.25 sec  loss: -0.102197  (-0.102198, 0.000001)
epoch: 0001  step: 15/100    time: 2.28 sec  loss: -0.094005  (-0.094007, 0.000001)
epoch: 0001  step: 16/100    time: 2.23 sec  loss: -0.089684  (-0.089687, 0.000002)
epoch: 0001  step: 17/100    time: 2.27 sec  loss: -0.083603  (-0.083607, 0.000004)
epoch: 0001  step: 18/100    time: 2.26 sec  loss: -0.105476  (-0.105483, 0.000006)
epoch: 0001  step: 19/100    time: 2.24 sec  loss: -0.097165  (-0.097177, 0.000012)
epoch: 0001  step: 20/100    time: 2.25 sec  loss: -0.090961  (-0.090981, 0.000020)
epoch: 0001  step: 21/100    time: 2.25 sec  loss: -0.082160  (-0.082195, 0.000035)
epoch: 0001  step: 22/100    time: 2.26 sec  loss: -0.101956  (-0.102022, 0.000066)
epoch: 0001  step: 23/100    time: 2.27 sec  loss: -0.091835  (-0.091951, 0.000115)
epoch: 0001  step: 24/100    time: 2.24 sec  loss: -0.104987  (-0.105110, 0.000123)
epoch: 0001  step: 25/100    time: 2.26 sec  loss: -0.088075  (-0.088175, 0.000100)
epoch: 0001  step: 26/100    time: 2.29 sec  loss: -0.101294  (-0.101375, 0.000081)
epoch: 0001  step: 27/100    time: 2.27 sec  loss: -0.100274  (-0.100340, 0.000066)
epoch: 0001  step: 28/100    time: 2.28 sec  loss: -0.097942  (-0.097993, 0.000051)
epoch: 0001  step: 29/100    time: 2.19 sec  loss: -0.089704  (-0.089749, 0.000045)
epoch: 0001  step: 30/100    time: 2.25 sec  loss: -0.092843  (-0.092884, 0.000041)
epoch: 0001  step: 31/100    time: 2.25 sec  loss: -0.091791  (-0.091826, 0.000034)
epoch: 0001  step: 32/100    time: 2.23 sec  loss: -0.092470  (-0.092503, 0.000033)
epoch: 0001  step: 33/100    time: 2.21 sec  loss: -0.085409  (-0.085441, 0.000032)
epoch: 0001  step: 34/100    time: 2.28 sec  loss: -0.093852  (-0.093886, 0.000034)
epoch: 0001  step: 35/100    time: 2.26 sec  loss: -0.101575  (-0.101613, 0.000037)
epoch: 0001  step: 36/100    time: 2.20 sec  loss: -0.091758  (-0.091801, 0.000043)
epoch: 0001  step: 37/100    time: 2.23 sec  loss: -0.097983  (-0.098031, 0.000047)
epoch: 0001  step: 38/100    time: 2.31 sec  loss: -0.096528  (-0.096585, 0.000057)
epoch: 0001  step: 39/100    time: 2.26 sec  loss: -0.088606  (-0.088677, 0.000071)
epoch: 0001  step: 40/100    time: 2.31 sec  loss: -0.095930  (-0.096014, 0.000083)
epoch: 0001  step: 41/100    time: 2.23 sec  loss: -0.084811  (-0.084905, 0.000094)
epoch: 0001  step: 42/100    time: 2.22 sec  loss: -0.087065  (-0.087173, 0.000108)
epoch: 0001  step: 43/100    time: 2.26 sec  loss: -0.090915  (-0.091028, 0.000112)
epoch: 0001  step: 44/100    time: 2.25 sec  loss: -0.086657  (-0.086763, 0.000106)
epoch: 0001  step: 45/100    time: 2.29 sec  loss: -0.086950  (-0.087060, 0.000110)
epoch: 0001  step: 46/100    time: 2.21 sec  loss: -0.093940  (-0.094044, 0.000105)
epoch: 0001  step: 47/100    time: 2.28 sec  loss: -0.085079  (-0.085176, 0.000097)
epoch: 0001  step: 48/100    time: 2.24 sec  loss: -0.097791  (-0.097880, 0.000089)
epoch: 0001  step: 49/100    time: 2.24 sec  loss: -0.085921  (-0.085993, 0.000073)
epoch: 0001  step: 50/100    time: 2.04 sec  loss: -0.099623  (-0.099690, 0.000067)
epoch: 0001  step: 51/100    time: 2.19 sec  loss: -0.093744  (-0.093801, 0.000057)
epoch: 0001  step: 52/100    time: 2.27 sec  loss: -0.091244  (-0.091292, 0.000048)
epoch: 0001  step: 53/100    time: 2.26 sec  loss: -0.081845  (-0.081887, 0.000042)
epoch: 0001  step: 54/100    time: 2.21 sec  loss: -0.102558  (-0.102599, 0.000042)
epoch: 0001  step: 55/100    time: 2.22 sec  loss: -0.093925  (-0.093965, 0.000040)
epoch: 0001  step: 56/100    time: 2.26 sec  loss: -0.093202  (-0.093244, 0.000042)
epoch: 0001  step: 57/100    time: 2.23 sec  loss: -0.086864  (-0.086907, 0.000042)
epoch: 0001  step: 58/100    time: 2.23 sec  loss: -0.082358  (-0.082402, 0.000044)
epoch: 0001  step: 59/100    time: 2.26 sec  loss: -0.100071  (-0.100120, 0.000049)
epoch: 0001  step: 60/100    time: 2.29 sec  loss: -0.092040  (-0.092094, 0.000054)
epoch: 0001  step: 61/100    time: 2.24 sec  loss: -0.085268  (-0.085330, 0.000061)
epoch: 0001  step: 62/100    time: 2.27 sec  loss: -0.085824  (-0.085893, 0.000069)
epoch: 0001  step: 63/100    time: 2.27 sec  loss: -0.092895  (-0.092975, 0.000080)
epoch: 0001  step: 64/100    time: 2.05 sec  loss: -0.096622  (-0.096713, 0.000090)
epoch: 0001  step: 65/100    time: 2.15 sec  loss: -0.096834  (-0.096928, 0.000094)
epoch: 0001  step: 66/100    time: 2.29 sec  loss: -0.088161  (-0.088260, 0.000099)
epoch: 0001  step: 67/100    time: 2.32 sec  loss: -0.092171  (-0.092265, 0.000094)
epoch: 0001  step: 68/100    time: 2.28 sec  loss: -0.089560  (-0.089648, 0.000088)
epoch: 0001  step: 69/100    time: 2.32 sec  loss: -0.094621  (-0.094700, 0.000079)
epoch: 0001  step: 70/100    time: 2.33 sec  loss: -0.083733  (-0.083804, 0.000070)
epoch: 0001  step: 71/100    time: 2.31 sec  loss: -0.080124  (-0.080188, 0.000063)
epoch: 0001  step: 72/100    time: 2.29 sec  loss: -0.092266  (-0.092326, 0.000060)
epoch: 0001  step: 73/100    time: 2.29 sec  loss: -0.097064  (-0.097121, 0.000057)
epoch: 0001  step: 74/100    time: 2.33 sec  loss: -0.093037  (-0.093093, 0.000056)
epoch: 0001  step: 75/100    time: 2.23 sec  loss: -0.084294  (-0.084351, 0.000057)
epoch: 0001  step: 76/100    time: 2.04 sec  loss: -0.097662  (-0.097725, 0.000063)
epoch: 0001  step: 77/100    time: 2.25 sec  loss: -0.089837  (-0.089908, 0.000071)
epoch: 0001  step: 78/100    time: 2.25 sec  loss: -0.091941  (-0.092020, 0.000078)
epoch: 0001  step: 79/100    time: 2.25 sec  loss: -0.089318  (-0.089411, 0.000093)
epoch: 0001  step: 80/100    time: 2.22 sec  loss: -0.085711  (-0.085816, 0.000104)
epoch: 0001  step: 81/100    time: 2.21 sec  loss: -0.083242  (-0.083360, 0.000118)
epoch: 0001  step: 82/100    time: 2.25 sec  loss: -0.100119  (-0.100249, 0.000130)
epoch: 0001  step: 83/100    time: 2.22 sec  loss: -0.093031  (-0.093154, 0.000123)
epoch: 0001  step: 84/100    time: 2.25 sec  loss: -0.080788  (-0.080903, 0.000115)
epoch: 0001  step: 85/100    time: 2.27 sec  loss: -0.085977  (-0.086080, 0.000103)
epoch: 0001  step: 86/100    time: 2.23 sec  loss: -0.099144  (-0.099236, 0.000092)
epoch: 0001  step: 87/100    time: 2.03 sec  loss: -0.085712  (-0.085796, 0.000084)
epoch: 0001  step: 88/100    time: 2.22 sec  loss: -0.090564  (-0.090643, 0.000079)
epoch: 0001  step: 89/100    time: 2.30 sec  loss: -0.089943  (-0.090020, 0.000077)
epoch: 0001  step: 90/100    time: 2.28 sec  loss: -0.098087  (-0.098163, 0.000076)
epoch: 0001  step: 91/100    time: 2.26 sec  loss: -0.096330  (-0.096411, 0.000082)
