epoch,dice_mean,jneg_pct
0,0.676014,0.000000
10,0.713546,0.000000
20,0.748223,0.000000
30,0.759600,0.000000
40,0.765169,0.000000
50,0.768537,0.000000
60,0.770576,0.000000
70,0.770853,0.000000
80,0.770645,0.000000
90,0.771513,0.000000
100,0.775926,0.000000
110,0.775444,0.000000
120,0.776547,0.000000
130,0.777924,0.000000
140,0.776932,0.000000
150,0.779271,0.000000
160,0.778204,0.000000
170,0.778776,0.000000
180,0.779259,0.000000
190,0.781086,0.000000
200,0.779561,0.000000
210,0.778512,0.000000
220,0.779750,0.000000
230,0.780848,0.000000
240,0.780899,0.000000
250,0.779413,0.000000
