epoch,dice_mean,jneg_pct
0,0.675335,0.000000
10,0.723038,0.000000
20,0.757092,0.000000
30,0.766494,0.000000
40,0.768686,0.000000
50,0.775091,0.000000
60,0.773348,0.000000
70,0.778195,0.000000
80,0.782078,0.000000
90,0.782160,0.000000
100,0.776811,0.000000
110,0.777634,0.000000
120,0.782422,0.000000
130,0.782893,0.000000
140,0.782881,0.000000
150,0.781888,0.000000
160,0.782778,0.000000
170,0.784376,0.000000
180,0.783924,0.000000
190,0.782103,0.000000
200,0.782892,0.000000
210,0.783173,0.000000
220,0.782693,0.000000
230,0.787420,0.000000
240,0.784441,0.000000
250,0.782834,0.000000
