file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
A0131.npz,0.728287,0.000000,0.780796,0.674485,0.773874,0.752340,0.822906,0.869489,0.792783,0.727273,0.748899,0.768162,0.759991,0.800255,0.765480,0.426462,0.680886,0.791693,0.342726,0.804919,0.703301,0.815876,0.807621,0.869477,0.874516,0.802561,0.724558,0.753771,0.744836,0.476435,0.760729,0.431503
A022.npz,0.785075,0.000000,0.824092,0.702452,0.870407,0.805210,0.880902,0.893019,0.856323,0.804890,0.800386,0.779303,0.804063,0.834560,0.787236,0.788693,0.687771,0.828571,0.493201,0.827513,0.707231,0.849369,0.827939,0.887211,0.889261,0.834215,0.773543,0.771895,0.828318,0.717543,0.778782,0.418355
A034.npz,0.790971,0.000000,0.829390,0.719761,0.867782,0.812716,0.875642,0.872884,0.851721,0.804867,0.788897,0.799594,0.787992,0.881918,0.817963,0.746653,0.723770,0.843641,0.338216,0.839543,0.731024,0.866320,0.828918,0.890038,0.877902,0.837445,0.835131,0.805811,0.844737,0.788871,0.815655,0.404340
A062.npz,0.797165,0.000000,0.842844,0.733265,0.829759,0.807121,0.880294,0.875401,0.850066,0.815613,0.806281,0.795249,0.789647,0.885350,0.844946,0.838710,0.701596,0.838385,0.444181,0.822445,0.706908,0.853712,0.832862,0.891100,0.893096,0.842801,0.849837,0.815519,0.823338,0.809501,0.789745,0.405375
CP009.npz,0.788379,0.000000,0.835156,0.726688,0.846123,0.819058,0.897368,0.902311,0.825233,0.780950,0.750982,0.741797,0.850262,0.914456,0.838155,0.817448,0.732964,0.809171,0.383578,0.841358,0.733176,0.840059,0.832352,0.904577,0.859141,0.792786,0.846951,0.815254,0.821605,0.805015,0.758682,0.328720
D025.npz,0.792397,0.000000,0.835707,0.725633,0.821780,0.842936,0.908301,0.898992,0.821996,0.799651,0.782493,0.792857,0.813740,0.914534,0.838841,0.854191,0.663179,0.817271,0.446292,0.824298,0.712431,0.772587,0.822694,0.900111,0.854012,0.797038,0.833066,0.804961,0.847376,0.844253,0.781742,0.398936
D031.npz,0.797712,0.000000,0.827576,0.723480,0.817655,0.824402,0.904136,0.903797,0.834552,0.771398,0.724710,0.781250,0.843918,0.917996,0.846924,0.828052,0.688907,0.829602,0.461538,0.835261,0.732105,0.831853,0.818855,0.907239,0.882609,0.818968,0.834009,0.776841,0.836602,0.862161,0.785418,0.479539
D032.npz,0.785979,0.000000,0.836387,0.716904,0.842769,0.840656,0.915482,0.898684,0.831957,0.801197,0.724120,0.802231,0.848020,0.913816,0.789633,0.783639,0.740301,0.842842,0.418394,0.830912,0.708121,0.824554,0.831121,0.910328,0.814792,0.814178,0.811564,0.740482,0.804486,0.845819,0.765479,0.330508
D040.npz,0.780277,0.000000,0.825226,0.696017,0.782692,0.830753,0.890519,0.885359,0.849990,0.784909,0.789829,0.776247,0.814522,0.908666,0.813962,0.819444,0.682196,0.806728,0.302564,0.826932,0.695195,0.818293,0.828430,0.904457,0.869917,0.806323,0.853987,0.784998,0.805507,0.784672,0.761241,0.408739
D055.npz,0.789790,0.000000,0.817093,0.703595,0.877702,0.839610,0.908763,0.879288,0.846210,0.794657,0.749633,0.767969,0.810206,0.913435,0.834035,0.781588,0.657109,0.804600,0.401539,0.824317,0.712539,0.868733,0.817720,0.907601,0.859656,0.818946,0.848673,0.800376,0.845970,0.822892,0.771726,0.407520
EDP016.npz,0.799754,0.000000,0.833406,0.706906,0.843904,0.834801,0.903921,0.889696,0.813404,0.805749,0.776492,0.776632,0.811737,0.911057,0.831112,0.836543,0.761727,0.826583,0.477573,0.835568,0.715902,0.847808,0.821317,0.903592,0.863898,0.805134,0.846395,0.819854,0.823638,0.826576,0.768443,0.473243
EDP026.npz,0.798696,0.000000,0.838966,0.717688,0.825879,0.843356,0.907465,0.885758,0.832671,0.818804,0.841189,0.802309,0.808395,0.915269,0.832357,0.824527,0.665827,0.813782,0.405446,0.827592,0.705452,0.841499,0.836750,0.904186,0.875012,0.807737,0.848775,0.828793,0.852333,0.823293,0.783206,0.446575
HP_IA037.npz,0.804947,0.000000,0.835882,0.715400,0.857574,0.847963,0.911452,0.901749,0.850363,0.832439,0.836252,0.763848,0.846606,0.909281,0.856937,0.797989,0.671411,0.851958,0.386018,0.832483,0.708921,0.855487,0.820478,0.903613,0.885012,0.831628,0.854205,0.824539,0.854158,0.842105,0.832385,0.430260
HP_IA038.npz,0.802595,0.000000,0.834133,0.715183,0.866328,0.828488,0.906111,0.896083,0.849206,0.813061,0.850269,0.773826,0.829300,0.909375,0.846516,0.820683,0.714799,0.875786,0.394295,0.830612,0.715542,0.861278,0.828248,0.899846,0.871819,0.819124,0.853975,0.828729,0.848787,0.834150,0.810545,0.351767
HP_IA042.npz,0.802696,0.000000,0.839631,0.719227,0.849790,0.815191,0.886351,0.896336,0.844723,0.821637,0.836606,0.812249,0.819827,0.924753,0.830498,0.807201,0.687713,0.848255,0.467142,0.840661,0.719111,0.823255,0.831958,0.891480,0.889681,0.836560,0.872665,0.858590,0.840827,0.839083,0.849471,0.280415
HP_IA043.npz,0.805211,0.000000,0.821251,0.693028,0.866681,0.838888,0.896191,0.908809,0.865672,0.822758,0.819365,0.783029,0.853587,0.924560,0.820581,0.833751,0.643421,0.879891,0.346521,0.823457,0.691713,0.840158,0.799264,0.893322,0.898642,0.830062,0.868905,0.870293,0.842957,0.838521,0.854340,0.486708
HP_IA045.npz,0.813485,0.000000,0.829867,0.719031,0.868783,0.852222,0.909363,0.908527,0.848491,0.813800,0.836589,0.759661,0.777956,0.910437,0.845112,0.872088,0.724728,0.869175,0.420694,0.834320,0.724552,0.848171,0.843735,0.902626,0.888486,0.833168,0.858519,0.852229,0.850300,0.862143,0.853811,0.485960
HP_IA055.npz,0.820916,0.000000,0.836036,0.728188,0.861615,0.838112,0.908321,0.911446,0.846067,0.827859,0.865995,0.767082,0.838725,0.916275,0.841655,0.833563,0.777090,0.868469,0.496350,0.839518,0.729768,0.851838,0.835005,0.906060,0.891869,0.845648,0.869445,0.873068,0.846529,0.852466,0.847791,0.475641
PILOT006.npz,0.808646,0.000000,0.848158,0.726309,0.823536,0.840160,0.900733,0.909759,0.827315,0.828807,0.849731,0.772686,0.820172,0.918791,0.809353,0.820107,0.774265,0.840500,0.447090,0.850087,0.731662,0.842340,0.841541,0.904995,0.899647,0.815866,0.859986,0.834307,0.836390,0.842577,0.812319,0.430189
PILOT014.npz,0.808151,0.000000,0.837571,0.729836,0.876283,0.830194,0.903218,0.904775,0.847995,0.807926,0.833048,0.752044,0.842666,0.908433,0.836561,0.836089,0.756816,0.844299,0.329864,0.836106,0.730269,0.882142,0.835578,0.900160,0.905476,0.856480,0.841727,0.842460,0.843947,0.850565,0.852602,0.389408
PILOT018.npz,0.809862,0.000000,0.843236,0.722158,0.881637,0.813793,0.884819,0.877141,0.860143,0.822141,0.769490,0.802700,0.858700,0.926745,0.843833,0.832476,0.754426,0.854904,0.462594,0.849133,0.727696,0.870374,0.811186,0.887205,0.895194,0.854307,0.857342,0.848364,0.836904,0.819123,0.848057,0.380036
PILOT051.npz,0.792720,0.000000,0.832638,0.727803,0.870592,0.844604,0.913310,0.879612,0.849369,0.794064,0.795176,0.721988,0.828190,0.909989,0.845330,0.818727,0.719553,0.826832,0.347495,0.828396,0.719507,0.860965,0.824279,0.865585,0.889200,0.838811,0.853828,0.830031,0.816020,0.703013,0.802045,0.424658
PILOT055.npz,0.814614,0.000000,0.841619,0.735441,0.851472,0.850144,0.914110,0.889720,0.866308,0.839296,0.815159,0.745600,0.843493,0.932024,0.857168,0.836601,0.733723,0.853951,0.395693,0.836908,0.725580,0.835044,0.827864,0.903446,0.886910,0.849717,0.880796,0.877826,0.849655,0.852010,0.843144,0.468000
PILOT062.npz,0.791417,0.000000,0.828668,0.726515,0.807583,0.825561,0.878950,0.892618,0.831630,0.807771,0.826861,0.787070,0.816682,0.889274,0.833705,0.815648,0.635818,0.848358,0.350631,0.837443,0.729785,0.830148,0.822140,0.898844,0.861524,0.812962,0.855882,0.814978,0.827725,0.814645,0.810962,0.422136
T008.npz,0.790734,0.000000,0.844621,0.727276,0.857236,0.810402,0.884583,0.882991,0.842013,0.796003,0.758110,0.769311,0.804640,0.848009,0.828477,0.828274,0.740901,0.816007,0.363053,0.847183,0.722693,0.862075,0.816485,0.886591,0.887984,0.823844,0.851331,0.832995,0.836287,0.821169,0.810709,0.320779
T013.npz,0.785185,0.000000,0.828210,0.707183,0.859634,0.827344,0.879049,0.896969,0.851183,0.787799,0.751840,0.767568,0.831113,0.881111,0.790505,0.699213,0.710858,0.822431,0.364252,0.835477,0.712522,0.861052,0.816549,0.890395,0.865478,0.834753,0.845163,0.824329,0.821511,0.739760,0.820487,0.431818
