epoch,dice_mean,jneg_pct
0,0.737611,0.000000
10,0.803700,0.000000
20,0.829037,0.000000
30,0.833156,0.000000
40,0.837854,0.000000
50,0.842365,0.000000
60,0.847330,0.000000
70,0.847041,0.000000
80,0.850694,0.000000
90,0.851588,0.000000
100,0.853629,0.000000
110,0.851527,0.000000
120,0.855126,0.000000
130,0.852883,0.000000
140,0.856659,0.000000
150,0.855448,0.000000
160,0.855791,0.000000
170,0.858245,0.000000
180,0.858450,0.000000
190,0.857862,0.000000
200,0.852162,0.000000
210,0.858387,0.000000
220,0.858308,0.000000
230,0.859803,0.000000
240,0.859438,0.000000
250,0.859481,0.000000
