file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
A0131.npz,0.836206,0.000000,0.796129,0.747385,0.835129,0.824956,0.875358,0.925979,0.845687,0.875450,0.890422,0.860146,0.816993,0.938762,0.854439,0.746870,0.702512,0.891662,0.527263,0.824015,0.787377,0.854302,0.858602,0.922541,0.926454,0.868779,0.913879,0.910370,0.874536,0.876873,0.891543,0.621784
A022.npz,0.864093,0.000000,0.831154,0.778252,0.879797,0.871315,0.934075,0.942336,0.885938,0.918926,0.901244,0.871206,0.859907,0.950702,0.859733,0.878813,0.719652,0.899485,0.657128,0.836103,0.783463,0.869118,0.873980,0.930596,0.935417,0.895570,0.921789,0.910155,0.874989,0.890438,0.918616,0.642889
A034.npz,0.867723,0.000000,0.843917,0.793233,0.885792,0.878146,0.932453,0.938828,0.896927,0.910883,0.896865,0.808013,0.852699,0.945907,0.865146,0.887784,0.804535,0.899532,0.636031,0.852178,0.803779,0.888842,0.885283,0.938324,0.935128,0.903598,0.920152,0.896778,0.872835,0.877495,0.896773,0.683849
A062.npz,0.860895,0.000000,0.848980,0.792720,0.874712,0.884387,0.936007,0.926656,0.896894,0.905942,0.875801,0.835305,0.845635,0.950457,0.857168,0.880484,0.768370,0.895992,0.603111,0.828412,0.775903,0.877038,0.884156,0.936934,0.934521,0.890241,0.920671,0.879209,0.863847,0.883034,0.903000,0.671274
CP009.npz,0.856692,0.000000,0.840159,0.785781,0.867767,0.867315,0.930733,0.941371,0.880446,0.923757,0.906371,0.840790,0.866251,0.946389,0.876158,0.881893,0.744681,0.888515,0.638191,0.852439,0.798059,0.853617,0.874092,0.928652,0.924141,0.858946,0.920612,0.907134,0.836211,0.870655,0.908122,0.541497
D025.npz,0.848934,0.000000,0.841986,0.784854,0.860248,0.858774,0.920039,0.934204,0.881756,0.913924,0.882224,0.841982,0.831465,0.941900,0.851677,0.900559,0.780885,0.902890,0.571256,0.829786,0.769585,0.834210,0.842821,0.914826,0.919524,0.873812,0.900368,0.882715,0.869861,0.878497,0.906126,0.545269
D031.npz,0.864901,0.000000,0.840334,0.782245,0.864870,0.872734,0.921829,0.933702,0.882185,0.916240,0.895034,0.858320,0.860309,0.947410,0.881758,0.880372,0.774357,0.906282,0.622350,0.847492,0.789904,0.869119,0.880106,0.927549,0.926704,0.885395,0.914954,0.892959,0.883066,0.902644,0.911709,0.675102
D032.npz,0.856950,0.000000,0.843001,0.780787,0.874950,0.862316,0.924332,0.943142,0.896346,0.922182,0.898141,0.854694,0.845445,0.949978,0.828489,0.842871,0.776453,0.893724,0.636364,0.842084,0.777034,0.854932,0.878368,0.927526,0.937733,0.882655,0.921049,0.903587,0.824674,0.890055,0.899279,0.596321
D040.npz,0.851128,0.000000,0.837107,0.773045,0.852549,0.861470,0.912014,0.931527,0.902009,0.919772,0.885658,0.832522,0.831946,0.944588,0.840339,0.869622,0.728560,0.884625,0.597541,0.842583,0.777360,0.851920,0.873748,0.926798,0.927909,0.879155,0.909657,0.893959,0.860021,0.857452,0.893970,0.634424
D055.npz,0.866922,0.000000,0.837867,0.775679,0.898016,0.859897,0.921267,0.937586,0.903282,0.921205,0.898619,0.832384,0.858368,0.946245,0.876390,0.879153,0.743129,0.899803,0.686040,0.845244,0.784455,0.894193,0.874901,0.928980,0.937968,0.891902,0.918528,0.897682,0.882378,0.878158,0.910407,0.687943
EDP016.npz,0.858289,0.000000,0.846259,0.775620,0.859305,0.857692,0.917349,0.942343,0.885386,0.913887,0.905259,0.828291,0.842161,0.944912,0.854220,0.869684,0.785033,0.902565,0.616000,0.854163,0.785603,0.858240,0.860709,0.920120,0.942713,0.865786,0.915790,0.891730,0.860546,0.885533,0.917982,0.643785
